Insercao,NumeroInserido,Comp_BST,Comp_AVL
128,29967,24,14
129,30617,24,12
130,20617,14,14
131,23554,18,14
132,3820,14,14
133,28058,26,14
134,17664,12,14
135,5996,20,16
136,15736,14,14
137,15829,16,16
138,17902,14,16
139,12295,20,12
140,20672,16,16
141,24312,18,14
142,31448,12,12
143,19597,10,14
144,15522,12,14
145,32053,16,16
146,1979,10,16
147,18263,10,14
148,24358,20,16
149,30531,26,14
150,9729,22,14
151,13181,16,12
152,274,16,14
153,11429,22,14
154,18861,14,16
155,15679,16,16
156,17592,14,16
157,302,18,16
158,9945,24,16
159,27044,18,14
160,30483,28,16
161,14789,14,14
162,11106,16,14
163,31072,16,14
164,30482,30,16
165,5734,20,14
166,16610,14,16
167,29435,20,16
168,10036,20,14
169,19817,14,14
170,27358,20,16
171,6192,22,14
172,7509,22,14
173,19463,12,16
174,5441,14,14
175,19092,16,16
176,1224,14,16
177,24602,22,16
178,9993,22,16
179,9080,22,14
180,26277,24,16
181,12068,24,16
182,11585,26,18
183,17167,16,18
184,19556,14,16
185,7827,24,16
186,12847,18,14
187,6868,24,14
188,28843,22,12
189,4419,16,14
190,5326,16,16
191,14118,14,14
192,29285,22,18
193,7749,26,16
194,29823,22,18
195,19509,16,16
196,15892,18,14
197,9439,16,14
198,1275,16,18
199,2594,10,16
200,8552,22,14
201,25043,18,16
202,24204,20,16
203,31842,14,14
204,15632,14,14
205,27108,22,16
206,7805,28,16
207,30820,16,14
208,18640,16,16
209,11671,28,18
210,27598,22,14
211,24435,24,18
212,24020,20,16
213,27191,24,16
214,13357,18,16
215,14301,12,16
216,15172,12,16
217,11291,24,18
218,13602,14,16
219,24917,18,16
220,14616,12,16
221,17964,16,16
222,9610,24,14
223,26774,20,16
224,23854,22,16
225,25249,20,14
226,4934,20,16
227,15945,20,16
228,18073,18,16
229,4365,18,16
230,18740,18,18
231,21801,16,14
232,25405,22,16
233,30108,26,18
234,20830,18,16
235,27493,24,16
236,9113,24,14
237,32153,16,16
238,26482,26,16
239,837,16,14
240,8419,24,14
241,28531,24,16
242,20241,16,16
243,26970,22,16
244,23171,20,16
245,17581,16,16
246,5167,18,16
247,26328,28,18
248,10694,14,14
249,29934,26,18
250,18827,20,18
251,5030,20,16
252,24303,22,18
253,15347,14,16
254,30012,28,16
255,29077,24,18
256,30818,18,18
257,21281,14,16
258,3428,16,16
259,30538,28,18
260,18169,20,18
261,26998,24,18
262,24663,24,18
263,26586,22,18
264,14155,16,16
265,22462,18,16
266,18432,18,18
267,18583,20,18
268,16430,16,18
269,25866,26,18
270,11393,26,18
271,26921,24,18
272,6778,18,14
273,12126,26,16
274,6682,20,16
275,12768,20,16
276,9744,24,14
277,3242,16,16
278,28236,28,16
279,11336,28,18
280,8219,22,14
281,30715,20,16
282,24638,26,18
283,31230,12,16
284,3734,18,16
285,24307,24,16
286,26719,20,18
287,11715,30,14
288,1295,18,18
289,25463,24,16
290,19277,12,18
291,15055,12,16
292,9898,24,16
293,26023,28,18
294,19446,14,16
295,28263,30,18
296,2408,12,18
297,27155,26,16
298,18685,20,18
299,10162,16,16
300,24233,24,16
301,12331,22,16
302,18783,22,18
303,16841,18,18
304,1264,18,18
305,3320,18,16
306,15446,14,16
307,25613,20,18
308,26343,30,16
309,24074,22,16
310,28797,24,16
311,11453,28,16
312,19363,16,18
313,10418,18,18
314,1589,12,16
315,27080,24,18
316,31784,16,18
317,14705,16,16
318,24904,20,16
319,21471,18,16
320,25136,22,16
321,22447,20,18
322,24013,24,18
323,32719,10,18
324,1064,16,16
325,25008,20,16
326,19532,18,18
327,31246,14,18
328,636,16,18
329,25797,24,18
330,31010,18,14
331,16531,18,20
332,31252,16,18
333,1471,10,12
334,17190,18,20
335,3819,16,16
336,28703,26,18
337,19881,16,18
338,1420,12,14
339,12426,24,18
340,11023,18,16
341,11959,32,16
342,22794,22,18
343,19807,16,18
344,7396,26,18
345,21881,18,16
346,28730,28,18
347,25771,18,18
348,17070,20,18
349,6740,22,18
350,4928,22,16
351,27154,28,18
352,7501,24,18
353,10035,24,18
354,32428,14,18
355,14579,14,18
356,10108,18,18
357,9594,26,18
358,10658,16,18
359,20981,16,18
360,27918,28,18
361,2108,12,14
362,14136,18,16
363,5858,22,18
364,10102,22,18
365,18093,22,18
366,5919,24,20
367,30905,20,16
368,909,16,14
369,6874,26,18
370,6534,22,18
371,19454,16,16
372,29840,24,16
373,6295,24,20
374,31291,18,20
375,14165,18,16
376,14440,12,18
377,12473,26,18
378,10003,26,20
379,28751,30,18
380,28975,26,18
381,29830,26,18
382,17805,16,18
383,14980,14,16
384,30703,22,18
385,11626,30,16
386,15282,16,18
387,23778,24,16
388,19629,12,18
389,7404,28,18
390,16447,20,20
391,324,20,16
392,18342,12,18
393,30943,22,18
394,13830,16,14
395,12870,20,16
396,28632,28,18
397,30685,26,16
398,22162,22,18
399,27480,26,18
400,6852,26,18
401,497,18,18
402,28682,30,20
403,28434,26,18
404,14707,18,16
405,22932,24,20
406,14935,14,16
407,22472,20,18
408,30391,32,16
409,20699,20,18
410,1929,14,16
411,5725,22,20
412,2739,8,16
413,24302,26,18
414,21367,16,18
415,21340,18,20
416,26525,28,16
417,10684,18,20
418,30374,34,16
419,26180,30,18
420,9155,18,18
421,22509,22,20
422,109,18,18
423,22308,24,20
424,17612,16,18
425,16152,18,20
426,31830,18,18
427,7784,30,18
428,20545,18,20
429,16951,22,18
430,9926,26,18
431,5875,26,20
432,17740,18,20
433,29784,24,18
434,21729,20,16
435,22126,24,20
436,25535,20,18
437,21397,20,16
438,5032,22,18
439,24543,26,16
440,25687,22,18
441,12357,26,18
442,16996,24,16
443,25725,24,20
444,1603,16,18
445,5236,20,18
446,1731,18,18
447,5600,18,20
448,16273,20,18
449,25938,30,18
450,21443,22,18
451,20679,22,20
452,2663,10,18
453,28274,32,18
454,26301,30,18
455,19209,14,16
456,18255,12,18
457,25838,26,20
458,27376,28,18
459,14777,20,16
460,29347,24,18
461,16645,20,16
462,28592,30,20
463,18091,24,18
464,18293,14,18
465,26579,24,20
466,17081,22,16
467,20860,20,20
468,3201,10,18
469,17603,18,18
470,16850,24,16
471,11617,32,18
472,23660,26,20
473,27734,24,18
474,20197,18,20
475,29696,26,18
476,21318,20,20
477,27360,30,20
478,24639,28,20
479,30289,28,14
480,4476,18,16
481,10245,20,20
482,27584,26,18
483,3137,12,20
484,8855,22,16
485,1846,20,18
486,29924,28,18
487,25066,24,20
488,7831,26,16
489,11141,18,16
490,4425,20,18
491,31241,16,18
492,29333,26,20
493,11703,32,18
494,5739,24,18
495,13490,16,18
496,7335,24,18
497,30875,22,18
498,21682,22,18
499,11842,34,18
500,24324,22,18
501,16283,22,18
502,944,16,14
503,2710,12,18
504,11881,36,20
505,17297,20,18
506,17315,14,18
507,122,20,18
508,24507,28,20
509,23004,26,18
510,22594,24,18
511,14692,18,16
512,22765,24,18
513,27058,26,18
514,182,22,18
515,22883,26,18
516,18724,22,20
517,21431,24,20
518,4326,20,18
519,17234,22,18
520,11289,26,16
521,30671,28,18
522,12279,28,18
523,27985,30,18
524,7359,26,20
525,19761,18,20
526,24595,28,20
527,22902,28,20
528,15143,10,18
529,16574,20,18
530,13162,18,16
531,1727,20,16
532,10656,18,20
533,19856,18,18
534,21111,18,18
535,28235,30,18
536,25890,32,18
537,981,18,16
538,14213,12,16
539,24778,14,20
540,31981,18,18
541,29150,26,20
542,17265,24,20
543,22579,26,20
544,28013,32,20
545,9075,24,20
546,4017,22,20
547,4533,20,18
548,8801,24,18
549,11114,20,18
550,8597,24,18
551,1007,20,18
552,25660,24,18
553,27512,28,20
554,25293,24,18
555,1379,14,18
556,13515,18,20
557,3654,20,20
558,812,18,20
559,14120,20,18
560,24345,24,20
561,26567,26,20
562,10156,18,16
563,2016,14,18
564,12234,30,20
565,2737,14,20
566,25322,26,20
567,352,20,20
568,19147,18,18
569,29074,28,20
570,24537,30,20
571,27173,28,20
572,5391,18,14
573,6997,24,20
574,1572,14,18
575,21700,24,20
576,25584,22,16
577,3258,18,16
578,31006,24,18
579,661,18,20
580,12661,22,18
581,23932,26,18
582,8233,24,20
583,29128,28,18
584,9765,26,16
585,27347,26,20
586,7975,24,18
587,17409,16,20
588,29981,30,16
589,4925,24,18
590,13106,20,20
591,30790,22,18
592,15969,22,18
593,24446,30,20
594,18317,16,20
595,31771,18,18
596,27504,30,20
597,15589,16,18
598,22234,26,18
599,22507,24,18
600,14875,16,18
601,11474,30,18
602,31402,14,18
603,27030,26,18
604,3445,22,20
605,23200,22,18
606,26809,26,18
607,15824,18,16
608,24536,32,22
609,30601,30,18
610,21002,20,20
611,19712,20,20
612,12064,34,20
613,30825,24,18
614,21380,22,20
615,19328,14,18
616,32016,20,20
617,15238,18,20
618,26537,28,20
619,18911,18,18
620,22478,26,20
621,5883,28,16
622,19062,20,20
623,6450,26,20
624,31978,20,20
625,32686,12,18
626,21642,24,20
627,18858,22,18
628,11676,34,20
629,7299,26,18
630,4491,22,18
631,30572,32,20
632,6221,26,20
633,6607,24,18
634,5574,20,18
635,22940,28,18
636,31577,20,20
637,20752,22,20
638,22293,28,20
639,18363,14,20
640,25876,34,20
641,6363,28,20
642,3334,20,18
643,10548,20,16
644,13579,20,22
645,20757,24,22
646,23609,28,22
647,817,20,22
648,17036,26,20
649,32614,10,18
650,20746,24,20
651,6323,30,20
652,19560,16,18
653,4075,24,18
654,28016,34,20
655,20706,26,22
656,5623,24,18
657,3627,24,20
658,20005,18,20
659,22434,26,20
660,21853,20,20
661,27213,28,22
662,11016,16,16
663,11366,30,18
664,22284,30,20
665,7816,30,18
666,14015,18,18
667,4937,22,16
668,31370,16,20
669,18650,22,20
670,8608,26,20
671,7259,28,18
672,27765,26,18
673,3325,22,20
674,17362,18,20
675,13624,16,22
676,16836,22,20
677,21143,20,22
678,12975,18,18
679,30944,26,20
680,22607,26,20
681,13233,20,20
682,17773,20,20
683,12738,24,20
684,8338,18,16
685,12138,32,20
686,19710,22,20
687,16922,26,20
688,13485,18,22
689,29932,30,18
690,820,22,22
691,26237,32,18
692,24752,16,18
693,29993,32,18
694,1714,22,20
695,22,20,20
696,21918,20,20
697,27870,30,20
698,2244,14,18
699,21647,26,22
700,1384,16,20
701,7714,28,18
702,23125,28,18
703,14851,18,20
704,10199,22,16
705,6838,28,16
706,9269,20,18
707,23507,14,20
708,2389,14,20
709,20910,22,22
710,23604,30,22
711,20322,20,20
712,17741,22,20
713,7706,30,20
714,14292,14,18
715,10470,22,18
716,19842,20,20
717,23002,30,20
718,8703,28,20
719,2918,10,20
720,12317,24,18
721,27620,26,18
722,5303,22,18
723,14328,12,18
724,7795,32,18
725,15867,20,18
726,23403,24,20
727,28726,30,20
728,1776,22,20
729,11808,36,18
730,30307,30,16
731,9300,22,18
732,1478,16,20
733,24913,22,20
734,18937,22,22
735,27987,34,20
736,15809,20,18
737,26041,32,18
738,2046,16,18
739,24789,16,20
740,11468,32,18
741,17700,20,18
742,18521,22,20
743,22320,28,22
744,10678,20,16
745,7093,26,18
746,5361,20,18
747,22465,22,20
748,28470,28,20
749,1755,24,22
750,27854,32,20
751,8067,26,20
752,22573,28,20
753,129,24,20
754,635,20,20
755,30175,30,16
756,12588,24,22
757,31365,18,22
758,14766,22,20
759,17350,20,22
760,17206,24,20
761,20076,20,22
762,10282,22,18
763,8446,26,18
764,31687,22,22
765,21844,22,20
766,7653,32,20
767,19385,18,20
768,22036,16,20
769,15401,16,18
770,30822,26,18
771,15980,24,20
772,27029,28,20
773,26652,24,20
774,17778,22,20
775,22494,28,20
776,16833,24,22
777,32593,12,20
778,30951,28,20
779,18816,24,20
780,25369,28,22
781,27096,26,18
782,14824,20,22
783,16380,24,20
784,8551,28,20
785,24287,28,20
786,2874,12,22
787,31248,18,20
788,11080,20,16
789,21030,22,20
790,21230,22,22
791,16797,26,22
792,28392,28,20
793,21939,22,22
794,1345,20,20
795,31483,22,22
796,15373,12,18
797,30400,34,16
798,17679,22,20
799,6576,26,18
800,12449,28,20
801,29382,26,20
802,1823,24,22
803,10924,18,18
804,2919,12,22
805,32636,12,20
806,14109,20,22
807,4240,26,20
808,3942,24,20
809,3268,20,18
810,5306,24,20
811,29590,28,20
812,19962,20,18
813,2132,16,20
814,12646,26,22
815,20415,22,22
816,563,22,22
817,29647,30,20
818,12229,34,20
819,1653,24,22
820,27618,28,20
821,9102,26,18
822,5980,26,18
823,13166,20,18
824,24820,18,20
825,4241,28,20
826,18643,24,20
827,2303,16,18
828,26639,26,20
829,7378,28,18
830,13986,20,22
831,30491,30,16
832,10597,22,16
833,7956,26,18
834,8529,30,20
835,5619,20,20
836,5743,26,20
837,18559,24,20
838,27572,30,20
839,6684,24,18
840,14913,16,20
841,15719,18,20
842,6176,24,16
843,28325,34,20
844,15738,22,22
845,1663,26,22
846,17617,18,18
847,20463,24,24
848,26058,34,20
849,8777,30,20
850,18313,18,20
851,2238,18,20
852,11953,38,18
853,19153,20,20
854,11386,32,20
855,1425,14,22
856,24457,32,20
857,17307,16,20
858,7270,30,18
859,17094,24,18
860,17370,20,22
861,28165,32,20
862,21891,22,20
863,25213,24,18
864,26279,32,20
865,24489,34,20
866,28195,34,22
867,7392,30,20
868,28186,36,22
869,24137,24,20
870,11672,36,20
871,15817,22,22
872,14798,22,22
873,2852,14,22
874,9571,28,20
875,20624,18,22
876,13111,22,18
877,10476,24,16
878,20544,26,24
879,23708,28,22
880,7539,34,20
881,8793,26,16
882,4568,22,20
883,2937,14,20
884,15917,22,18
885,8057,28,20
886,18127,24,18
887,2254,18,18
888,3521,26,22
889,1352,16,20
890,5635,26,20
891,7823,32,20
892,12960,20,20
893,4992,18,20
894,26387,32,20
895,24947,22,20
896,19447,18,20
897,5298,24,20
898,8735,32,20
899,425,22,22
900,20363,24,22
901,21654,28,22
902,7375,30,20
903,5063,24,20
904,32487,16,20
905,20640,20,24
906,22679,26,18
907,26115,36,20
908,14266,16,18
909,22227,28,18
910,30265,32,18
911,13733,14,22
912,9083,28,20
913,1754,26,18
914,651,20,20
915,22716,28,20
916,2638,12,18
917,26965,26,18
918,12304,26,20
919,19755,22,20
920,4465,22,20
921,21583,26,22
922,30041,30,18
923,19261,16,18
924,31931,22,20
925,29745,28,20
926,13960,22,22
927,9526,18,20
928,491,24,22
929,10304,24,20
930,7119,28,20
931,31146,18,20
932,12784,22,18
933,8629,30,22
934,12352,28,20
935,9116,26,22
936,318,22,20
937,17186,20,20
938,10060,24,22
939,3773,20,20
940,10316,26,22
941,2280,20,20
942,18538,26,22
943,27218,30,22
944,5634,28,20
945,1703,28,20
946,8652,32,22
947,28819,26,22
948,11595,34,20
949,7918,28,20
950,10706,20,20
951,9265,22,18
952,29856,26,20
953,21154,24,24
954,24795,20,22
955,15070,14,16
956,26235,34,18
957,8100,28,18
958,17756,24,20
959,4368,20,20
960,9743,26,20
961,12974,22,20
962,20015,20,18
963,2818,16,22
964,27702,28,20
965,28798,28,22
966,24365,26,20
967,1788,26,20
968,16555,22,18
969,6711,26,18
970,27646,30,22
971,17621,20,22
972,21369,18,22
973,4356,22,20
974,15664,16,18
975,26294,34,22
976,31998,22,20
977,2951,16,20
978,28448,30,20
979,6246,28,18
980,23376,26,20
981,26004,32,20
982,24625,28,18
983,14232,18,18
984,5001,20,22
985,24611,30,20
986,6338,32,20
987,5265,26,20
988,27980,32,18
989,1813,28,20
990,29820,26,20
991,18416,20,20
992,22218,30,20
993,14862,20,18
994,7800,34,20
995,19851,22,20
996,22158,26,20
997,14143,20,18
998,9904,28,22
999,21952,24,22
1000,31378,18,22
1001,14216,14,20
1002,4885,20,22
1003,32597,14,22
1004,18750,24,20
1005,25143,26,20
1006,2844,18,22
1007,27949,34,20
1008,18476,24,20
1009,11593,36,20
1010,28314,36,20
1011,8159,30,20
1012,5847,28,20
1013,4677,24,22
1014,15591,18,20
1015,27757,28,22
1016,32007,24,22
1017,9579,30,22
1018,13976,24,22
1019,22831,28,20
1020,20354,26,24
1021,28913,24,20
1022,25436,26,20
1023,7205,30,20
1024,17691,24,22
1025,1526,18,20
1026,21388,24,22
1027,7403,30,20
1028,6583,28,18
1029,25223,26,20
1030,11439,30,18
1031,31199,14,18
1032,773,20,20
1033,31332,20,22
1034,27904,32,20
1035,6003,26,20
1036,11255,28,18
1037,8905,24,22
1038,4455,24,22
1039,15292,18,20
1040,19420,20,22
1041,22803,30,22
1042,30682,30,20
1043,2732,16,22
1044,32115,18,20
1045,31063,20,20
1046,18222,12,18
1047,7826,34,22
1048,1375,18,20
1049,15105,12,20
1050,2349,16,22
1051,2528,14,22
1052,23765,30,24
1053,24763,18,20
1054,10984,20,20
1055,9777,28,22
1056,21656,30,22
1057,8081,30,18
1058,22351,30,22
1059,25639,26,20
1060,338,22,22
1061,24574,30,20
1062,4832,22,24
1063,31028,22,22
1064,17977,20,20
1065,10330,28,22
1066,2779,18,18
1067,23385,28,22
1068,2508,16,22
1069,18141,26,20
1070,32218,16,20
1071,30727,24,20
1072,12037,36,20
1073,20654,22,24
1074,12855,22,18
1075,10943,22,22
1076,22448,22,22
1077,885,18,18
1078,17868,18,20
1079,21892,24,22
1080,27412,30,20
1081,16749,28,22
1082,2486,18,22
1083,23952,28,22
1084,28629,32,22
1085,5051,26,20
1086,19288,16,20
1087,24646,30,20
1088,15641,18,20
1089,9982,24,22
1090,11939,40,20
1091,13416,20,20
1092,18154,28,20
1093,30247,34,20
1094,32149,20,22
1095,2954,18,22
1096,2524,18,22
1097,6027,28,20
1098,4352,24,22
1099,18374,16,22
1100,23023,30,20
1101,24630,30,20
1102,13965,26,22
1103,22962,32,22
1104,6326,34,20
1105,20866,24,22
1106,14336,14,18
1107,14991,16,16
1108,5817,30,22
1109,1257,20,20
1110,26558,30,20
1111,22211,32,22
1112,9241,24,20
1113,2584,16,20
1114,22156,28,22
1115,31882,16,20
1116,5234,22,20
1117,27460,32,22
1118,5785,32,22
1119,8936,22,18
1120,14853,22,20
1121,19393,22,22
1122,12223,36,20
1123,7394,32,20
1124,7191,32,20
1125,21713,26,22
1126,10502,26,20
1127,3309,22,20
1128,27796,34,20
1129,25786,26,20
1130,19306,18,20
1131,11431,32,20
1132,248,24,20
1133,13339,22,18
1134,478,26,22
1135,15557,18,20
1136,21103,24,22
1137,25983,34,22
1138,31376,20,24
1139,12620,28,20
1140,18747,26,22
1141,13107,24,18
1142,28015,36,20
1143,22359,32,24
1144,12117,28,20
1145,11243,18,18
1146,10026,28,22
1147,9818,30,24
1148,18990,24,22
1149,24059,24,20
1150,14950,16,18
1151,23709,32,24
1152,4802,26,24
1153,4197,28,20
1154,5117,26,20
1155,15776,24,20
1156,26020,34,22
1157,30778,26,20
1158,29766,30,20
1159,10666,22,20
1160,32271,18,22
1161,3999,26,22
1162,10594,24,20
1163,16560,24,20
1164,7475,26,20
1165,28627,34,22
1166,4392,22,20
1167,11384,34,20
1168,15309,20,22
1169,3182,14,20
1170,30559,34,20
1171,22015,18,22
1172,31226,16,20
1173,13287,24,20
1174,9264,26,20
1175,2583,18,22
1176,16717,30,22
1177,31065,22,22
1178,11994,38,22
1179,20820,26,22
1180,19743,24,22
1181,27527,32,22
1182,26792,28,20
1183,32553,18,22
1184,3366,22,22
1185,15645,20,22
1186,29729,30,20
1187,15439,18,20
1188,5706,28,20
1189,16953,26,18
1190,23678,30,22
1191,4198,30,22
1192,5555,22,20
1193,26409,34,22
1194,16737,32,22
1195,11999,40,22
1196,31271,20,20
1197,1143,18,20
1198,27331,32,22
1199,2841,20,20
1200,18323,18,22
1201,13346,24,20
1202,22830,32,22
1203,30666,30,20
1204,18663,24,20
1205,3119,14,20
1206,9773,30,24
1207,21921,24,22
1208,5159,28,22
1209,25184,28,22
1210,18690,24,20
1211,5418,20,18
1212,5311,26,18
1213,32068,18,20
1214,5014,22,22
1215,4081,30,22
1216,4120,32,24
1217,22128,30,22
1218,31670,24,20
1219,22632,20,20
1220,21003,24,22
1221,1147,20,22
1222,1040,22,22
1223,8654,34,22
1224,3984,28,22
1225,23562,32,24
1226,13645,18,18
1227,11678,36,20
1228,14287,18,18
1229,382,24,20
1230,26266,34,18
1231,16378,26,20
1232,27701,32,22
1233,1827,26,20
1234,5026,24,22
1235,15182,20,20
1236,17637,22,22
1237,26429,36,22
1238,16396,26,20
1239,16008,26,20
1240,3848,16,22
1241,17826,20,22
1242,17848,22,24
1243,17722,22,22
1244,17689,26,22
1245,4413,24,22
1246,13502,20,18
1247,12516,28,20
1248,19748,26,22
1249,14394,14,18
1250,8617,32,22
1251,26297,36,20
1252,20263,22,24
1253,31728,24,20
1254,23687,32,24
1255,31322,22,24
1256,17607,20,22
1257,4545,24,24
1258,7745,30,18
1259,30181,36,20
1260,12610,30,22
1261,19266,18,20
1262,25390,30,22
1263,5541,24,22
1264,2460,20,20
1265,20946,18,22
1266,31308,12,20
1267,30015,32,20
1268,51,22,22
1269,8484,32,22
1270,6488,28,18
1271,32341,20,24
1272,2693,14,18
1273,2223,20,22
1274,26993,26,20
1275,11031,22,18
1276,6484,30,20
1277,22592,28,20
1278,21763,22,22
1279,28371,30,22
1280,31495,24,22
1281,27570,34,22
1282,13129,24,18
1283,17257,26,20
1284,846,20,20
1285,17415,18,20
1286,19729,26,20
1287,11007,22,22
1288,22021,20,22
1289,14008,22,22
1290,7872,28,20
1291,31221,18,22
1292,22875,30,20
1293,10056,26,22
1294,31637,26,22
1295,32027,22,20
1296,4915,26,24
1297,32543,20,24
1298,30258,36,20
1299,20514,28,24
1300,30154,32,16
1301,22422,34,24
1302,12888,22,18
1303,30801,24,20
1304,24474,36,22
1305,2639,14,22
1306,1010,24,22
1307,6009,30,22
1308,21119,22,24
1309,7111,30,20
1310,19243,18,20
1311,9753,28,22
1312,13358,20,20
1313,24262,30,22
1314,3112,16,22
1315,6774,24,18
1316,24892,22,22
1317,8729,34,18
1318,26591,28,22
1319,26026,34,20
1320,1640,26,20
1321,32641,14,20
1322,17707,24,24
1323,22657,28,20
1324,19443,22,22
1325,6639,26,18
1326,25842,28,20
1327,6963,26,20
1328,20487,30,22
1329,4728,28,24
1330,12619,32,22
1331,18315,20,22
1332,5291,28,20
1333,31549,26,24
1334,8900,26,22
1335,40,24,22
1336,31494,26,24
1337,25723,26,22
1338,8289,26,20
1339,12437,30,20
1340,28215,36,20
1341,31939,24,20
1342,1077,20,22
1343,30798,26,22
1344,20898,26,22
1345,26107,38,20
1346,17508,20,22
1347,8575,26,22
1348,280,20,22
1349,7615,36,20
1350,29926,32,20
1351,22267,32,24
1352,31482,24,22
1353,7887,30,22
1354,11400,28,20
1355,23970,30,22
1356,10675,24,22
1357,7379,32,20
1358,7464,28,22
1359,12286,30,20
1360,6442,30,20
1361,8457,34,22
1362,1527,20,22
1363,19838,22,22
1364,4132,34,24
1365,18415,22,22
1366,32523,22,24
1367,25905,34,22
1368,23427,26,20
1369,23727,34,24
1370,20855,22,20
1371,23595,34,22
1372,19225,20,22
1373,31426,16,24
1374,4905,22,22
1375,28862,26,22
1376,14352,16,18
1377,1176,16,22
1378,12152,38,20
1379,21920,26,24
1380,9793,32,24
1381,1216,18,24
1382,27410,32,22
1383,6619,28,20
1384,29361,28,18
1385,22862,32,22
1386,12299,28,22
1387,12874,24,20
1388,26014,36,22
1389,29978,32,18
1390,811,22,22
1391,14492,16,18
1392,31178,16,24
1393,20592,20,20
1394,477,28,22
1395,426,30,22
1396,27004,30,20
1397,21001,22,20
1398,30535,30,20
1399,28167,38,22
1400,3271,24,22
1401,17466,22,22
1402,19643,14,22
1403,10457,24,22
1404,10860,22,22
1405,18664,26,22
1406,12744,26,18
1407,2764,20,20
1408,21702,28,22
1409,2037,18,20
1410,19073,22,22
1411,68,24,20
1412,29114,30,20
1413,1101,22,24
1414,31265,22,24
1415,10409,30,20
1416,25332,30,20
1417,16542,24,20
1418,10097,26,22
1419,20506,32,22
1420,22024,22,22
1421,5851,30,22
1422,4921,28,24
1423,32142,22,22
1424,3191,16,18
1425,29042,30,20
1426,23308,28,22
1427,11154,20,18
1428,15666,18,22
1429,839,22,22
1430,28848,28,24
1431,9131,28,22
1432,10888,24,22
1433,16948,28,20
1434,4953,24,20
1435,16545,26,20
1436,23317,30,24
1437,22403,36,24
1438,9932,28,24
1439,13157,26,20
1440,1455,16,20
1441,12351,30,22
1442,28473,30,22
1443,19832,24,22
1444,7080,28,20
1445,1793,30,22
1446,20774,28,20
1447,21331,22,20
1448,21604,28,24
1449,20499,34,24
1450,26007,38,22
1451,15301,22,22
1452,9144,30,22
1453,24665,26,20
1454,28980,32,20
1455,15833,22,20
1456,8187,32,22
1457,4184,36,22
1458,28199,38,22
1459,11895,42,22
1460,27909,34,22
1461,19665,16,24
1462,19766,20,24
1463,22037,18,20
1464,8450,36,24
1465,17553,18,22
1466,28176,40,22
1467,4477,24,22
1468,29221,28,20
1469,12112,30,22
1470,23193,24,24
1471,28625,36,24
1472,27803,36,20
1473,31704,26,22
1474,19587,18,22
1475,29133,30,20
1476,17598,20,22
1477,10602,24,20
1478,12574,26,22
1479,20045,22,22
1480,6540,28,20
1481,20573,22,22
1482,8049,30,22
1483,24591,32,22
1484,15191,22,22
1485,7688,34,22
1486,29833,28,20
1487,8377,26,22
1488,19133,20,20
1489,18402,18,20
1490,2577,20,22
1491,21790,24,24
1492,17371,22,22
1493,15139,14,22
1494,20157,22,22
1495,18878,20,22
1496,1087,24,24
1497,11102,22,18
1498,26250,36,20
